log_id,asset_id,date,maintenance_type,duration_hours,cost_cad,technician,resolved,notes,month
MNT-0001,WTG-001,2023-01-06,Corrective,9.3,2415.27,Tech_08,True,Corrective work on WTG-001 — Wind Turbine,2023-01
MNT-0002,WTG-001,2023-02-28,Corrective,23.4,4139.17,Tech_05,True,Corrective work on WTG-001 — Wind Turbine,2023-02
MNT-0003,WTG-001,2023-10-11,Corrective,11.5,4368.73,Tech_01,True,Corrective work on WTG-001 — Wind Turbine,2023-10
MNT-0004,WTG-001,2023-12-15,Preventive,2.7,560.59,Tech_04,True,Preventive work on WTG-001 — Wind Turbine,2023-12
MNT-0005,WTG-002,2023-02-13,Emergency,13.0,5039.02,Tech_03,True,Emergency work on WTG-002 — Wind Turbine,2023-02
MNT-0006,WTG-002,2023-09-06,Emergency,29.6,5922.88,Tech_05,True,Emergency work on WTG-002 — Wind Turbine,2023-09
MNT-0007,WTG-003,2023-03-03,Preventive,4.0,675.78,Tech_01,True,Preventive work on WTG-003 — Wind Turbine,2023-03
MNT-0008,WTG-003,2023-05-07,Inspection,3.0,612.09,Tech_03,True,Inspection work on WTG-003 — Wind Turbine,2023-05
MNT-0009,WTG-003,2023-07-11,Emergency,26.9,4672.62,Tech_07,True,Emergency work on WTG-003 — Wind Turbine,2023-07
MNT-0010,WTG-003,2023-08-13,Preventive,7.2,1186.3,Tech_06,True,Preventive work on WTG-003 — Wind Turbine,2023-08
MNT-0011,WTG-003,2023-08-20,Preventive,3.1,836.7,Tech_02,True,Preventive work on WTG-003 — Wind Turbine,2023-08
MNT-0012,WTG-003,2023-09-22,Emergency,48.0,18816.7,Tech_04,True,Emergency work on WTG-003 — Wind Turbine,2023-09
MNT-0013,WTG-003,2023-11-29,Preventive,3.3,1300.94,Tech_05,False,Preventive work on WTG-003 — Wind Turbine,2023-11
MNT-0014,WTG-004,2023-03-21,Preventive,3.3,755.14,Tech_01,True,Preventive work on WTG-004 — Wind Turbine,2023-03
MNT-0015,WTG-004,2023-05-27,Corrective,7.1,1404.4,Tech_02,True,Corrective work on WTG-004 — Wind Turbine,2023-05
MNT-0016,WTG-004,2023-08-05,Preventive,2.7,828.97,Tech_07,True,Preventive work on WTG-004 — Wind Turbine,2023-08
