reading_id,asset_id,date,output_kw,efficiency,temperature_c,vibration_mm,uptime_hours,month
WTG-001-20230101,WTG-001,2023-01-01,1148.52,0.9214,72.0,0.46,22.2,2023-01
WTG-001-20230102,WTG-001,2023-01-02,1907.51,0.9654,69.9,0.119,19.1,2023-01
WTG-001-20230103,WTG-001,2023-01-03,1452.29,0.9397,37.5,0.473,18.8,2023-01
WTG-001-20230104,WTG-001,2023-01-04,1388.63,0.93,47.4,0.769,19.2,2023-01
WTG-001-20230105,WTG-001,2023-01-05,1686.04,1.0,30.2,0.034,23.7,2023-01
WTG-001-20230106,WTG-001,2023-01-06,1793.91,0.9714,38.3,0.051,22.1,2023-01
WTG-001-20230107,WTG-001,2023-01-07,1141.32,0.9298,74.6,0.15,22.0,2023-01
WTG-001-20230108,WTG-001,2023-01-08,1545.6,0.9564,52.8,0.102,23.8,2023-01
WTG-001-20230109,WTG-001,2023-01-09,1230.89,0.9686,31.8,0.023,20.0,2023-01
WTG-001-20230110,WTG-001,2023-01-10,1401.84,0.9892,69.7,0.221,19.7,2023-01
WTG-001-20230111,WTG-001,2023-01-11,1170.96,0.9296,79.2,0.74,19.2,2023-01
WTG-001-20230112,WTG-001,2023-01-12,1330.42,0.7182,82.4,3.653,22.6,2023-01
WTG-001-20230113,WTG-001,2023-01-13,1812.27,0.9586,57.4,0.201,18.4,2023-01
WTG-001-20230114,WTG-001,2023-01-14,1382.39,0.9467,63.8,0.507,23.3,2023-01
WTG-001-20230115,WTG-001,2023-01-15,1690.87,0.9349,53.7,0.737,21.0,2023-01
WTG-001-20230116,WTG-001,2023-01-16,1486.97,0.9643,21.5,0.057,18.2,2023-01
WTG-001-20230117,WTG-001,2023-01-17,1780.64,0.9245,35.0,0.264,22.5,2023-01
WTG-001-20230118,WTG-001,2023-01-18,1260.08,0.9988,37.4,0.088,23.6,2023-01
WTG-001-20230119,WTG-001,2023-01-19,1811.62,0.983,31.2,1.115,21.2,2023-01
WTG-001-20230120,WTG-001,2023-01-20,1916.87,1.0,39.1,0.058,19.4,2023-01
WTG-001-20230121,WTG-001,2023-01-21,1205.56,1.0,50.6,0.27,19.3,2023-01
WTG-001-20230122,WTG-001,2023-01-22,1411.68,0.9603,76.6,0.195,21.1,2023-01
WTG-001-20230123,WTG-001,2023-01-23,1853.76,0.941,35.1,0.344,19.8,2023-01
WTG-001-20230124,WTG-001,2023-01-24,1229.51,1.0,56.6,0.349,18.3,2023-01
WTG-001-20230125,WTG-001,2023-01-25,1294.98,0.9841,49.4,2.122,19.5,2023-01
WTG-001-20230126,WTG-001,2023-01-26,1740.82,0.9622,34.3,0.651,20.2,2023-01
WTG-001-20230127,WTG-001,2023-01-27,1272.23,1.0,70.1,0.193,19.1,2023-01
WTG-001-20230128,WTG-001,2023-01-28,1672.71,1.0,60.7,0.008,21.1,2023-01
WTG-001-20230129,WTG-001,2023-01-29,1734.66,0.9897,43.2,1.38,18.8,2023-01
WTG-001-20230130,WTG-001,2023-01-30,1204.99,0.9335,75.5,1.049,19.5,2023-01
WTG-001-20230131,WTG-001,2023-01-31,1623.72,1.0,34.5,0.049,23.4,2023-01
WTG-001-20230201,WTG-001,2023-02-01,1682.49,0.9859,40.3,0.215,22.4,2023-02
WTG-001-20230202,WTG-001,2023-02-02,1314.13,0.9886,73.9,0.466,18.1,2023-02
WTG-001-20230203,WTG-001,2023-02-03,1730.8,1.0,20.3,0.088,21.3,2023-02
WTG-001-20230204,WTG-001,2023-02-04,1769.74,1.0,34.2,0.197,22.5,2023-02
WTG-001-20230205,WTG-001,2023-02-05,1879.38,1.0,59.5,0.42,18.6,2023-02
WTG-001-20230206,WTG-001,2023-02-06,1836.38,0.9282,43.6,1.113,21.8,2023-02
WTG-001-20230207,WTG-001,2023-02-07,1515.39,0.9459,54.6,0.339,19.2,2023-02
WTG-001-20230208,WTG-001,2023-02-08,1613.08,0.9398,30.6,1.411,23.7,2023-02
WTG-001-20230209,WTG-001,2023-02-09,1492.64,0.9977,20.9,1.318,20.6,2023-02
WTG-001-20230210,WTG-001,2023-02-10,1795.11,0.9544,39.0,0.093,21.3,2023-02
WTG-001-20230211,WTG-001,2023-02-11,1740.74,0.9908,54.2,0.051,21.7,2023-02
WTG-001-20230212,WTG-001,2023-02-12,1755.49,0.9988,62.1,0.223,19.8,2023-02
WTG-001-20230213,WTG-001,2023-02-13,1789.15,0.9681,72.0,1.222,21.1,2023-02
WTG-001-20230214,WTG-001,2023-02-14,1761.57,1.0,67.7,1.104,20.0,2023-02
WTG-001-20230215,WTG-001,2023-02-15,1231.41,0.9657,54.7,0.018,20.8,2023-02
WTG-001-20230216,WTG-001,2023-02-16,1115.66,0.9112,22.2,0.865,20.2,2023-02
WTG-001-20230217,WTG-001,2023-02-17,1577.21,0.9749,66.2,0.122,21.7,2023-02
WTG-001-20230218,WTG-001,2023-02-18,1780.87,1.0,78.6,0.363,19.9,2023-02
WTG-001-20230219,WTG-001,2023-02-19,1416.67,1.0,46.3,0.041,18.2,2023-02
WTG-001-20230220,WTG-001,2023-02-20,1244.17,0.9389,35.0,0.398,22.3,2023-02
WTG-001-20230221,WTG-001,2023-02-21,1423.95,1.0,77.3,0.67,21.3,2023-02
